time,logger,level,database,message,exception
2013-02-23 14:16:47.5815,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 14:16:47.5815,Raven.Database.Server.HttpServer,Debug,,Request #  19: GET     -   112 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 15:08:22.4575,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-02-23 15:08:22.4825,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-02-23 16:08:22.4844,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-02-23 16:08:22.4844,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-02-23 16:16:05.6299,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 16:16:05.6299,Raven.Database.Server.HttpServer,Debug,,Request #  20: GET     -    80 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 16:32:38.5017,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 16:32:38.5017,Raven.Database.Server.HttpServer,Debug,,Request #  21: GET     -    38 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 16:47:05.6153,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 16:47:05.6153,Raven.Database.Server.HttpServer,Debug,,Request #  22: GET     -    48 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 16:50:20.1024,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 16:50:20.1024,Raven.Database.Server.HttpServer,Debug,,Request #  23: GET     -    97 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 16:52:41.0165,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 16:52:41.0865,Raven.Database.Server.HttpServer,Debug,,Request #  24: GET     -   102 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 17:08:22.5653,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-02-23 17:08:22.5703,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-02-23 17:49:05.4060,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
